movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,year,month,day,animated
Recess: School's Out,2/16/2001,Comedy,G,C,Chuck Sheetz,2001,2,16,YES
D2: The Mighty Ducks,3/25/1994,Comedy,PG,B,Sam Weisman,1994,3,25,NO
Home on the Range,4/2/2004,Comedy,PG,C,Will Finn,2004,4,2,YES
Young Black Stallion,12/25/2003,Adventure,G,D,Simon Wincer,2003,12,25,NO
What's Love Got to Do With It,6/9/1993,Drama,R,B,Brian Gibson,1993,6,9,NO
Lady and the Tramp,6/22/2055,Drama,G,S,Hamilton Luske,1955,6,22,NO
Corky Romano,10/12/2001,Comedy,PG-13,C,Rob Pritts,2001,10,12,NO
The Waterboy,11/6/1998,Comedy,PG-13,A,Frank Coraci,1998,11,6,NO
Captain America: The Winter Soldier,4/4/2014,Action,PG-13,A,Anthony Russo,2014,4,4,NO
Pirates of the Caribbean: Dead Man’…,7/7/2006,Adventure,PG-13,S,Gore Verbinski,2006,7,7,NO
Ladder 49,10/1/2004,Action,PG-13,B,Jay Russell,2004,10,1,NO
Coyote Ugly,8/4/2000,Drama,PG-13,B,David McNally,2000,8,4,NO
The Sixth Man,3/28/1997,Comedy,PG-13,C,Randall Miller,1997,3,28,NO
Dick Tracy,6/15/1990,Action,PG,A,Warren Beatty,1990,6,15,NO
Sister Act 2 Back in the Habit,12/10/1993,Comedy,PG,B,Bill Duke,1993,12,10,YES
DuckTales: The Movie - Treasure of th…,8/3/1990,Adventure,G,C,Bob Hathcock,1990,8,3,NO
Blame it on the Bellboy,3/6/1992,Comedy,PG-13,D,Mark Herman,1992,3,6,YES
The Hunchback of Notre Dame,6/21/1996,Adventure,G,B,Gary Trousdale,1996,6,21,NO
Ernest Goes to Jail,4/6/1990,Comedy,PG,C,John R. Cherry III,1990,4,6,NO
Ant-Man,7/17/2015,Action,PG-13,B,NO_DIRECTOR,2015,7,17,NO
The Shaggy Dog,3/10/2006,Comedy,PG,B,Brian Robbins,2006,3,10,NO
The Life Aquatic with Steve Zissou,12/10/2004,Comedy,R,C,Wes Anderson,2004,12,10,NO
Bridge to Terabithia,2/16/2007,Drama,PG,B,Gábor Csupó,2007,2,16,YES
Beauty and the Beast,11/13/1991,Musical,G,A,Gary Trousdale,1991,11,13,NO
Miami Rhapsody,1/27/1995,Romantic Comedy,PG-13,D,David Frankel,1995,1,27,NO
A Bug's Life,11/20/1998,Adventure,G,A,John Lasseter,1998,11,20,NO
3 Men and a Little Lady,11/21/1990,Comedy,PG,B,Emile Ardolino,1990,11,21,NO
