movie_title,release_date,genre,MPAA_rating,director,animated,MovieSuccessLevel
Recess: School's Out,16-Feb-01,Comedy,G,Chuck Sheetz,Yes,C
D2: The Mighty Ducks,25-Mar-94,Comedy,PG,Sam Weisman,NO,B
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Yes,C
Young Black Stallion,25-Dec-03,Adventure,G,Simon Wincer,NO,D
What's Love Got to Do With It,9-Jun-93,Drama,R,Brian Gibson,NO,B
Lady and the Tramp,22-Jun-55,Drama,G,Hamilton Luske,NO,S
Corky Romano,12-Oct-01,Comedy,PG-13,Rob Pritts,NO,C
The Waterboy,6-Nov-98,Comedy,PG-13,Frank Coraci,NO,A
Captain America: The Winter Soldier,4-Apr-14,Action,PG-13,Anthony Russo,NO,A
Pirates of the Caribbean: Dead Man’…,7-Jul-06,Adventure,PG-13,Gore Verbinski,NO,S
Ladder 49,1-Oct-04,Action,PG-13,Jay Russell,NO,B
Coyote Ugly,4-Aug-00,Drama,PG-13,David McNally,NO,B
The Sixth Man,28-Mar-97,Comedy,PG-13,Randall Miller,NO,C
Dick Tracy,15-Jun-90,Action,PG,Warren Beatty,NO,A
Sister Act 2 Back in the Habit,10-Dec-93,Comedy,PG,Bill Duke,NO,B
DuckTales: The Movie - Treasure of th…,3-Aug-90,Adventure,G,Bob Hathcock,Yes,C
Blame it on the Bellboy,6-Mar-92,Comedy,PG-13,Mark Herman,NO,D
The Hunchback of Notre Dame,21-Jun-96,Adventure,G,Gary Trousdale,Yes,B
Ernest Goes to Jail,6-Apr-90,Comedy,PG,John R. Cherry III,NO,C
Ant-Man,17-Jul-15,Action,PG-13,Peyton Reed,NO,B
The Shaggy Dog,10-Mar-06,Comedy,PG,Brian Robbins,NO,B
The Life Aquatic with Steve Zissou,10-Dec-04,Comedy,R,Wes Anderson,NO,C
Bridge to Terabithia,16-Feb-07,Drama,PG,Gábor Csupó,NO,B
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,NO,A
Miami Rhapsody,27-Jan-95,Romantic Comedy,PG-13,David Frankel,NO,D
A Bug's Life,20-Nov-98,Adventure,G,John Lasseter,Yes,A
3 Men and a Little Lady,21-Nov-90,Comedy,PG,Emile Ardolino,NO,B
The Puppet Masters,21-Oct-94,Horror,R,Stuart Orme,NO,D
Signs,2-Aug-02,Thriller/Suspense,PG-13,M. Night Shyamalan,NO,A
Dead Presidents,4-Oct-95,Drama,R,Albert Hughes,NO,C
"McFarland, USA",20-Feb-15,Drama,PG,Niki Caro,NO,C
George Of The Jungle,16-Jul-97,Comedy,PG,Sam Weisman,NO,B
Bound by Honor,16-Apr-93,Crime,R,Taylor Hackford,NO,D
The Avengers,4-May-12,Action,PG-13,Joss Whedon,NO,S
Ten Things I Hate About You,31-Mar-99,Romantic Comedy,PG-13,Andre Paras,NO,C
Earth,22-Apr-09,Documentary,G,Kevin Nolting,NO,C
Hello Again,6-Nov-87,Comedy,PG,Tom Gustafson,NO,C
When a Man Loves a Woman,29-Apr-94,Drama,R,Luis Mandoki,NO,B
Unbreakable,22-Nov-00,Thriller/Suspense,PG-13,M. Night Shyamalan,NO,B
3 Men and a Baby,25-Nov-87,Comedy,PG,Leonard Nimoy,NO,A
X Games 3D: The Movie,21-Aug-09,Documentary,PG,Steven Lawrence,NO,D
Cars 2,24-Jun-11,Adventure,G,John Lasseter,Yes,A
The Princess Diaries 2: Royal Engagement,11-Aug-04,Romantic Comedy,G,Garry Marshall,NO,B
The Jungle Book 2,14-Feb-03,Adventure,G,Steve Trenbirth,Yes,C
Aspen Extreme,22-Jan-93,Romantic Comedy,PG-13,Patrick Hasburgh,NO,D
Noises Off...,20-Mar-92,Comedy,PG-13,Peter Bogdanovich,NO,D
He Got Game,1-May-98,Drama,R,Spike Lee,NO,C
Bringing Down the House,7-Mar-03,Comedy,PG-13,Adam Shankman,NO,B
Bon Voyage!,17-May-62,Comedy,Not Rated,Jean-Paul Rappeneau,NO,B
Doctor Strange,4-Nov-16,Adventure,PG-13,Scott Derrickson,NO,A
Flubber,26-Nov-97,Comedy,PG,Les Mayfield,NO,B
Roving Mars,27-Jan-06,Documentary,G,George Butler,NO,D
Captain Ron,18-Sep-92,Comedy,PG-13,Thom Eberhardt,NO,C
Shadow Conspiracy,31-Jan-97,Thriller/Suspense,R,George P. Cosmatos,NO,D
Good Morning Vietnam,23-Dec-87,Comedy,R,Barry Levinson,NO,A
Babes in Toyland,14-Dec-61,Musical,G,Clive Donner,NO,B
An Innocent Man,6-Oct-89,Drama,R,Peter Yates,NO,C
Summer of Sam,2-Jul-99,Drama,R,Spike Lee,NO,C
The Good Dinosaur,25-Nov-15,Adventure,PG,Peter Sohn,Yes,B
Angels in the Outfield,15-Jul-94,Comedy,PG,William Dear,NO,B
Tough Guys,3-Oct-86,Comedy,PG,Jeff Kanew,NO,C
Something Wicked This Way Comes,29-Apr-83,Horror,PG,Jack Clayton,NO,D
The Rocketeer,21-Jun-91,Action,PG,Joe Johnston,NO,B
Stakeout,5-Aug-87,Comedy,R,John Badham,NO,B
National Treasure 2: Book of Secrets,21-Dec-07,Adventure,PG,Jon Turteltaub,NO,A
Terminal Velocity,23-Sep-94,Action,PG-13,Deran Sarafian,NO,C
Apocalypto,8-Dec-06,Adventure,R,Mel Gibson,NO,C
Invincible,25-Aug-06,Drama,PG,Ericson Core,Yes,B
25th Hour,19-Dec-02,Drama,R,Spike Lee,NO,D
Mighty Joe Young,25-Dec-98,Adventure,PG,Ron Underwood,NO,B
Deceived,27-Sep-91,Thriller/Suspense,PG-13,Damian Harris,NO,C
Never Cry Wolf,7-Oct-83,Drama,PG,Carroll Ballard,NO,B
G-Force,24-Jul-09,Adventure,PG,Hoyt Yeatman,Yes,B
Feast of July,13-Oct-95,Drama,R,Christopher Menaul,NO,D
The Lookout,30-Mar-07,Drama,R,Scott Frank,NO,D
Cool Runnings,1-Oct-93,Comedy,PG,Jon Turteltaub,NO,B
Alice Through the Looking Glass,27-May-16,Adventure,PG,James Bobin,NO,B
The Devil and Max Devlin,1-Jan-81,Fantasy,PG,Steven Hilliard Stern,NO,C
The Chronicles of Narnia: Prince Caspian,16-May-08,Adventure,PG,Andrew Adamson,NO,B
The Insider,5-Nov-99,Drama,R,Michael Mann,NO,C
Camp Nowhere,26-Aug-94,Comedy,PG,Jonathan Prince,NO,C
The Rock,7-Jun-96,Action,R,Michael Bay,NO,A
Green Card,25-Dec-90,Romantic Comedy,PG-13,Peter Weir,NO,C
Real Steel,7-Oct-11,Action,PG-13,Shawn Levy,NO,B
A Kid in King Arthur's Court,11-Aug-95,Adventure,PG,Michael Gottlieb,NO,C
The Last Flight of Noah’s Ark,25-Jun-80,Adventure,G,Charles Jarrott,NO,C
African Cats,22-Apr-11,Documentary,G,Alastair Fothergill,NO,D
Toy Story 3D Double Feature,2-Oct-09,Adventure,G,Unknown,Yes,C
Into the Woods,25-Dec-14,Musical,PG,Rob Marshall,NO,B
Finding Nemo,30-May-03,Adventure,G,Andrew Stanton,Yes,S
The Good Mother,4-Nov-88,Drama,PG,Steve Antin,NO,D
The Hundred-Foot Journey,8-Aug-14,Romantic Comedy,PG,Lasse Hallström,NO,C
Pearl Harbor,25-May-01,Action,PG-13,Michael Bay,NO,A
Pirates of the Caribbean: At World’…,24-May-07,Adventure,PG-13,Gore Verbinski,NO,A
Color of Night,19-Aug-94,Thriller/Suspense,R,Richard Rush,NO,C
Romy and Michele's High School Reunion,25-Apr-97,Comedy,R,David Mirkin,NO,C
Cheetah,18-Aug-89,Adventure,TV-G,Oz Scott,NO,D
Jack,9-Aug-96,Drama,PG-13,Christopher McQuarrie,NO,B
Monsters University,21-Jun-13,Adventure,G,Dan Scanlon,Yes,A
The Fifth Estate,18-Oct-13,Drama,R,Bill Condon,NO,D
Before and After,23-Feb-96,Drama,PG-13,Barbet Schroeder,NO,D
Moonlight Mile,27-Sep-02,Drama,PG-13,Brad Silberling,NO,D
A Stranger Among Us,17-Jul-92,Drama,PG-13,Sidney Lumet,NO,C
The Lizzie McGuire Movie,2-May-03,Comedy,PG,Jim Fall,NO,C
Krippendorf's Tribe,27-Feb-98,Comedy,PG-13,Todd Holland,NO,D
crazy/beautiful,29-Jun-01,Drama,PG-13,John Stockwell,NO,C
Adventures in Babysitting,3-Jul-87,Comedy,PG-13,John Schultz,NO,B
The Game Plan,22-Sep-07,Comedy,PG,Andy Fickman,NO,B
Splash,9-Mar-84,Comedy,PG,Ron Howard,NO,B
Who Framed Roger Rabbit?,22-Jun-88,Comedy,PG,Robert Zemeckis,Yes,A
The Light Between Oceans,2-Sep-16,Drama,PG-13,Derek Cianfrance,NO,D
The Guardian,29-Sep-06,Action,PG-13,Andrew Davis,NO,B
The Sword in the Stone,25-Dec-63,Adventure,G,Wolfgang Reitherman,Yes,B
Mr. Holland's Opus,29-Dec-95,Drama,PG,Stephen Herek,NO,B
The Rescuers Down Under,16-Nov-90,Adventure,G,Mike Gabriel,Yes,C
The Preacher's Wife,13-Dec-96,Drama,PG,Penny Marshall,NO,B
Sarafina!,18-Sep-92,Drama,PG-13,Darrell James Roodt,NO,D
Trenchcoat,11-Mar-83,Comedy,PG,Michael Tuchner,NO,D
Confessions of a Teenage Drama Queen,20-Feb-04,Comedy,PG,Sara Sugarman,NO,C
Around the World in 80 Days,16-Jun-04,Adventure,PG,Frank Coraci,NO,C
Blaze,13-Dec-89,Drama,R,Ethan Hawke,Yes,C
Toy Story,22-Nov-95,Adventure,G,John Lasseter,Yes,A
Prince of Persia: Sands of Time,28-May-10,Action,PG-13,Mike Newell,NO,B
Eddie,31-May-96,Comedy,PG-13,Dexter Fletcher,NO,C
White Fang 2: Myth of the White Wolf,15-Apr-94,Adventure,PG,Ken Olin,NO,D
White Squall,2-Feb-96,Adventure,PG-13,Ridley Scott,NO,D
The Invisible,27-Apr-07,Thriller/Suspense,PG-13,Leigh Whannell,NO,C
Guilty as Sin,4-Jun-93,Thriller/Suspense,R,Sidney Lumet,NO,C
Operation Dumbo Drop,28-Jul-95,Adventure,PG,Simon Wincer,NO,C
Ghosts of the Abyss,11-Apr-03,Documentary,G,James Cameron,NO,C
Scenes from a Mall,22-Feb-91,Comedy,R,Paul Mazursky,NO,D
The BFG,1-Jul-16,Adventure,PG,Steven Spielberg,NO,C
Tron,9-Jul-82,Action,PG,Joseph Kosinski,NO,B
Firelight,4-Sep-98,Drama,R,William Nicholson,NO,D
Delivery Man,22-Nov-13,Comedy,PG-13,Ken Scott,NO,C
New York Stories,1-Mar-89,Drama,PG,Francis Ford Coppola,NO,C
Disorganized Crime,14-Apr-89,Comedy,R,Jim Kouf,NO,D
Tom and Huck,22-Dec-95,Adventure,PG,Peter Hewitt,NO,C
Keeping the Faith,14-Apr-00,Romantic Comedy,PG-13,Edward Norton,NO,C
Grosse Pointe Blank,11-Apr-97,Black Comedy,R,George Armitage,NO,C
Indian Summer,23-Apr-93,Comedy,R,Mike Binder,NO,C
