movie_title,release_date,genre,MPAA_rating,revenue,directors,animated
Recess: School's Out,16-Feb-01,Comedy,G,"$54,656,124 ",Chuck Sheetz,Yes
D2: The Mighty Ducks,25-Mar-94,Comedy,PG,"$94,226,333 ",Sam Weisman,NO
Home on the Range,2-Apr-04,Comedy,PG,"$67,910,166 ",Will Finn,Yes
Young Black Stallion,25-Dec-03,Adventure,G,"$9,254,344 ",Simon Wincer,NO
What's Love Got to Do With It,9-Jun-93,Drama,R,"$79,618,610 ",Brian Gibson,NO
Lady and the Tramp,22-Jun-55,Drama,G,"$1,236,035,515 ",Hamilton Luske,NO
Corky Romano,12-Oct-01,Comedy,PG-13,"$35,705,805 ",Rob Pritts,NO
The Waterboy,6-Nov-98,Comedy,PG-13,"$288,691,833 ",Frank Coraci,NO
Captain America: The Winter Soldier,4-Apr-14,Action,PG-13,"$268,013,076 ",Anthony Russo,NO
Pirates of the Caribbean: Dead Man’…,7-Jul-06,Adventure,PG-13,"$544,817,142 ",Gore Verbinski,NO
Ladder 49,1-Oct-04,Action,PG-13,"$101,161,045 ",Jay Russell,NO
Coyote Ugly,4-Aug-00,Drama,PG-13,"$95,070,168 ",David McNally,NO
The Sixth Man,28-Mar-97,Comedy,PG-13,"$27,117,599 ",Randall Miller,NO
Dick Tracy,15-Jun-90,Action,PG,"$207,231,621 ",Warren Beatty,NO
Sister Act 2 Back in the Habit,10-Dec-93,Comedy,PG,"$116,965,668 ",Bill Duke,NO
DuckTales: The Movie - Treasure of th…,3-Aug-90,Adventure,G,"$36,107,823 ",Bob Hathcock,Yes
Blame it on the Bellboy,6-Mar-92,Comedy,PG-13,"$5,872,667 ",Mark Herman,NO
The Hunchback of Notre Dame,21-Jun-96,Adventure,G,"$190,988,799 ",Gary Trousdale,Yes
Ernest Goes to Jail,6-Apr-90,Comedy,PG,"$49,999,822 ",John R. Cherry III,NO
Ant-Man,17-Jul-15,Action,PG-13,"$180,202,163 ",Peyton Reed,NO
The Shaggy Dog,10-Mar-06,Comedy,PG,"$78,667,428 ",Brian Robbins,NO
The Life Aquatic with Steve Zissou,10-Dec-04,Comedy,R,"$32,198,655 ",Wes Anderson,NO
Bridge to Terabithia,16-Feb-07,Drama,PG,"$100,760,721 ",Gábor Csupó,NO
Beauty and the Beast,13-Nov-91,Musical,G,"$363,017,667 ",Gary Trousdale,NO
Miami Rhapsody,27-Jan-95,Romantic Comedy,PG-13,"$9,857,435 ",David Frankel,NO
A Bug's Life,20-Nov-98,Adventure,G,"$288,981,698 ",John Lasseter,Yes
3 Men and a Little Lady,21-Nov-90,Comedy,PG,"$143,108,869 ",Emile Ardolino,NO
The Puppet Masters,21-Oct-94,Horror,R,"$17,727,017 ",Stuart Orme,NO
Signs,2-Aug-02,Thriller/Suspense,PG-13,"$330,754,439 ",M. Night Shyamalan,NO
Dead Presidents,4-Oct-95,Drama,R,"$46,741,467 ",Albert Hughes,NO
"McFarland, USA",20-Feb-15,Drama,PG,"$44,480,275 ",Niki Caro,NO
George Of The Jungle,16-Jul-97,Comedy,PG,"$193,326,632 ",Sam Weisman,NO
Bound by Honor,16-Apr-93,Crime,R,"$9,156,084 ",Taylor Hackford,NO
The Avengers,4-May-12,Action,PG-13,"$660,081,224 ",Joss Whedon,NO
Ten Things I Hate About You,31-Mar-99,Romantic Comedy,PG-13,"$63,354,375 ",Andre Paras,NO
Earth,22-Apr-09,Documentary,G,"$35,981,010 ",Kevin Nolting,NO
Hello Again,6-Nov-87,Comedy,,"$44,024,529 ",Tom Gustafson,NO
When a Man Loves a Woman,29-Apr-94,Drama,R,"$103,354,194 ",Luis Mandoki,NO
Unbreakable,22-Nov-00,Thriller/Suspense,PG-13,"$148,208,901 ",M. Night Shyamalan,NO
3 Men and a Baby,25-Nov-87,Comedy,PG,"$353,334,607 ",Leonard Nimoy,NO
X Games 3D: The Movie,21-Aug-09,Documentary,PG,"$1,563,976 ",Steven Lawrence,NO
Cars 2,24-Jun-11,Adventure,G,"$203,522,177 ",John Lasseter,Yes
The Princess Diaries 2: Royal Engagement,11-Aug-04,Romantic Comedy,G,"$129,164,207 ",Garry Marshall,NO
The Jungle Book 2,14-Feb-03,Adventure,G,"$66,966,883 ",Steve Trenbirth,Yes
Aspen Extreme,22-Jan-93,Romantic Comedy,PG-13,"$15,970,955 ",Patrick Hasburgh,NO
Noises Off...,20-Mar-92,Comedy,PG-13,"$4,631,720 ",Peter Bogdanovich,NO
