,movie_title,animated,day,genre_Adventure,genre_Animation,genre_Black Comedy,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Musical,genre_Romance,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Western,MPAA_rating_Not Rated,MPAA_rating_PG,MPAA_rating_PG-13,MPAA_rating_R,MPAA_rating_TV-G,directors_Adam Shankman,directors_Alan J. Pakula,directors_Alan Parker,directors_Alan Taylor,directors_Alastair Fothergill,directors_Albert Hughes,directors_Alex Kurtzman,directors_Allan Moyle,directors_Amy Holden Jones,directors_Andre Paras,directors_Andrew Adamson,directors_Andrew Davis,directors_Andrew Stanton,directors_Andy Fickman,directors_Andy Tennant,directors_Andy Wilson,directors_Angela Robinson,directors_Annabel Jankel,directors_Anne Fletcher,directors_Anthony Russo,directors_Anthony Waller,directors_Antoine Fuqua,directors_Antonia Bird,directors_Arlene Sanford,directors_Art Stevens,directors_Arthur Hiller,directors_Barbet Schroeder,directors_Barnet Kellman,directors_Barry Cook,directors_Barry Levinson,directors_Barry Sonnenfeld,directors_Bill Condon,directors_Bill Duke,directors_Bill L. Norton,directors_Bill Paxton,directors_Blair Hayes,directors_Boaz Yakin,directors_Bob Balaban,directors_Bob Hathcock,directors_Bob Spiers,directors_Brad Bird,directors_Brad Silberling,directors_Brenda Chapman,directors_Brian De Palma,directors_Brian Gibson,directors_Brian Henson,directors_Brian Levant,directors_Brian Robbins,directors_Byron Howard,directors_Carroll Ballard,directors_Charles Jarrott,directors_Charles Martin Smith,directors_Charles Shyer,directors_Charles T. Kanganis,directors_Charlie Peters,directors_Chris Buck,directors_Chris Columbus,directors_Chris Sanders,directors_Christopher Cain,directors_Christopher McQuarrie,directors_Christopher Menaul,directors_Chuck Sheetz,directors_Clive Donner,directors_Clyde Geronimi,directors_Craig Gillespie,directors_Damian Harris,directors_Dan Scanlon,directors_Daniel Chong,directors_Daniel Petrie Jr.,directors_Danny Cannon,directors_Darrell James Roodt,directors_Darrell Van Citters,directors_David Frankel,directors_David Green,directors_David Hand,directors_David Kellogg,directors_David Lowery,directors_David Lynch,directors_David M. Evans,directors_David McNally,directors_David Mirkin,directors_David R. Ellis,directors_Delbert Mann,directors_Deran Sarafian,directors_Derek Cianfrance,directors_Dexter Fletcher,directors_Diane Keaton,directors_Don Hahn,directors_Donald Petrie,directors_Donald Shebib,directors_Edward Norton,directors_Emile Ardolino,directors_Emilio Estevez,directors_Ericson Core,directors_Ethan Hawke,directors_Fernando Trueba,directors_Francis Ford Coppola,directors_Francis Glebas,directors_Francis Lee,directors_Francis Veber,directors_Frank Coraci,directors_Frank Marshall,directors_Frank Nissen,directors_Frank Oz,directors_Gareth Edwards,directors_Garry Marshall,directors_Garth Jennings,directors_Gary Chapman,directors_Gary Nelson,directors_Gary Ross,directors_Gary Rydstrom,directors_Gary Trousdale,directors_George Armitage,directors_George Butler,directors_George Cukor,directors_George Gallo,directors_George P. Cosmatos,directors_Gillies MacKinnon,directors_Gore Verbinski,directors_Gábor Csupó,directors_Hamilton Luske,directors_Hayao Miyazaki,directors_Henry Selick,directors_Hervé Palud,directors_Hoyt Yeatman,directors_Jack Clayton,directors_James Bobin,directors_James Brolin,directors_James Cameron,directors_James Gunn,directors_James Ivory,directors_James Lapine,directors_James Melkonian,directors_James Orr,directors_Jay Roach,directors_Jay Russell,directors_Jean-Marie Poiré,directors_Jean-Paul Rappeneau,directors_Jeff Kanew,directors_Jeff Nathanson,directors_Jeremiah S. Chechik,directors_Jerry Rees,directors_Jessica Bendinger,directors_Jim Fall,directors_Jim Kouf,directors_Jocelyn Moorhouse,directors_Joe Camp,directors_Joe Johnston,directors_Joel Schumacher,directors_John Badham,directors_John Dahl,directors_John Lasseter,directors_John Lee Hancock,directors_John McTiernan,directors_John N. Smith,directors_John Pasquin,directors_John R. Cherry III,directors_John Schultz,directors_John Stockwell,directors_Jon Erwin,directors_Jon M. Chu,directors_Jon Turteltaub,directors_Jonathan Lynn,directors_Jonathan Prince,directors_Jonathan R. Betuel,directors_Joseph Kosinski,directors_Joshua Michael Stern,directors_Joss Whedon,directors_Julie Anne Robinson,directors_Jun Falkenstein,directors_Justin Lin,directors_Kelly Asbury,directors_Ken Olin,directors_Ken Scott,directors_Kenny Ortega,directors_Kevin Costner,directors_Kevin Lima,directors_Kevin Nolting,directors_Kevin Reynolds,directors_Lasse Hallström,directors_Lee Unkrich,directors_Leigh Whannell,directors_Leonard Nimoy,directors_Les Mayfield,directors_Louis Schwartsberg,directors_Luis Mandoki,directors_M. Night Shyamalan,directors_Mark Dindal,directors_Mark Herman,directors_Mark Monroe,directors_Mark Steven Johnson,directors_Mark Waters,directors_Martha Coolidge,directors_Martin Scorsese,directors_Matt Williams,directors_Mel Gibson,directors_Mel Smith,directors_Michael Bay,directors_Michael Dinner,directors_Michael Gottlieb,directors_Michael Katleman,directors_Michael Lembeck,directors_Michael Mann,directors_Michael Tuchner,directors_Miguel Arteta,directors_Mikael Salomon,directors_Mike Binder,directors_Mike Gabriel,directors_Mike Mitchell,directors_Mike Newell,directors_Mira Nair,directors_Mitsuo Wakasugi,directors_Nancy Meyers,directors_Nathan Greno,directors_Nick Castle,directors_Nigel Cole,directors_Niki Caro,directors_Norman Tokar,directors_Oliver Stone,directors_Oscar Rudolph,directors_Oz Scott,directors_Patrick Hasburgh,directors_Patrick Read Johnson,directors_Paul Lynch,directors_Paul Mazursky,directors_Paul Michael Glaser,directors_Paul Verhoeven,directors_Penny Marshall,directors_Pete Docter,directors_Peter Bogdanovich,directors_Peter Chelsom,directors_Peter Hastings,directors_Peter Hedges,directors_Peter Hewitt,directors_Peter Sohn,directors_Peter Weir,directors_Peter Yates,directors_Peyton Reed,directors_Phillip Borsos,directors_Raja Gosnell,directors_Ralph Zondag,directors_Ramón Menéndez,directors_Randal Kleiser,directors_Randall Miller,directors_Randall Wallace,directors_Rich Moore,directors_Richard Fleischer,directors_Richard Rush,directors_Rick Friedberg,directors_Ridley Scott,directors_Rob Bowman,directors_Rob Lieberman,directors_Rob Marshall,directors_Rob Minkoff,directors_Rob Pritts,directors_Robert Benton,directors_Robert Redford,directors_Robert Stevenson,directors_Robert Walker,directors_Robert Zemeckis,directors_Roberts Gannaway,directors_Robin Budd,directors_Roger Donaldson,directors_Roger Spottiswoode,directors_Roland Joffé,directors_Ron Clements,directors_Ron Howard,directors_Ron Shelton,directors_Ron Underwood,directors_Rupert Wainwright,directors_Sam Raimi,directors_Sam Weisman,directors_Santiago Menghini,directors_Sara Sugarman,directors_Satyajit Bhatkal,directors_Scott Derrickson,directors_Scott Frank,directors_Shane Black,directors_Shawn Levy,directors_Sidney Lumet,directors_Simon Wells,directors_Simon West,directors_Simon Wincer,directors_Spike Lee,directors_Stephen Frears,directors_Stephen Herek,directors_Stephen J. Anderson,directors_Stephen Sommers,directors_Steve Antin,directors_Steve Boyum,directors_Steve James,directors_Steve Oedekerk,directors_Steve Rash,directors_Steve Trenbirth,directors_Steven Brill,directors_Steven Hilliard Stern,directors_Steven Lawrence,directors_Steven Spielberg,directors_Steven Zaillian,directors_Stuart Orme,directors_T.C. Christensen,directors_Taylor Hackford,directors_Ted Berman,directors_Ted Demme,directors_Theodore Thomas,directors_Thom Eberhardt,directors_Thomas Carter,directors_Thomas Sieben,directors_Tim Burton,directors_Tim Fywell,directors_Tim Hill,directors_Tim Hunter,directors_Timur Bekmambetov,directors_Todd Holland,directors_Tom Dey,directors_Tom Gustafson,directors_Toni Myers,directors_Tony Scott,directors_Victor Salva,directors_Vincent McEveety,directors_Wallace Wolodarsky,directors_Walt Becker,directors_Walter Murch,directors_Walter Salles,directors_Warren Beatty,directors_Wes Anderson,directors_Wesley Strick,directors_Wilfred Jackson,directors_Will Finn,directors_William Brent Bell,directors_William Dear,directors_William Lau,directors_William Nicholson,directors_Wolfgang Reitherman,directors_Éric-Emmanuel Schmitt,revenue
0,Recess: School's Out,Yes,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54656124
1,D2: The Mighty Ducks,NO,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94226336
2,Home on the Range,Yes,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67910168
3,Young Black Stallion,NO,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9254344
4,What's Love Got to Do With It,NO,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79618608
5,Lady and the Tramp,NO,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236035456
6,Corky Romano,NO,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35705804
7,The Waterboy,NO,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288691840
8,Captain America: The Winter Soldier,NO,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268013072
9,Pirates of the Caribbean: Dead Man’…,NO,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544817152
