,movie_title,release_date,genre,MPAA_rating,director,year,month,day,animated,revenue
0,Recess: School's Out,2/16/2001,Comedy,G,Chuck Sheetz,2001,2,16,YES,"$54,656,124 "
1,D2: The Mighty Ducks,3/25/1994,Comedy,PG,Sam Weisman,1994,3,25,NO,"$94,226,333 "
2,Home on the Range,4/2/2004,Comedy,PG,Will Finn,2004,4,2,YES,"$67,910,166 "
3,Young Black Stallion,12/25/2003,Adventure,G,Simon Wincer,2003,12,25,NO,"$9,254,344 "
4,What's Love Got to Do With It,6/9/1993,Drama,R,Brian Gibson,1993,6,9,NO,"$79,618,610 "
5,Lady and the Tramp,6/22/2055,Drama,G,Hamilton Luske,1955,6,22,NO,"$1,236,035,515 "
6,Corky Romano,10/12/2001,Comedy,PG-13,Rob Pritts,2001,10,12,NO,"$35,705,805 "
7,The Waterboy,11/6/1998,Comedy,PG-13,Frank Coraci,1998,11,6,NO,"$288,691,833 "
8,Captain America: The Winter Soldier,4/4/2014,Action,PG-13,Anthony Russo,2014,4,4,NO,"$268,013,076 "
9,Pirates of the Caribbean: Dead Man’…,7/7/2006,Adventure,PG-13,Gore Verbinski,2006,7,7,NO,"$544,817,142 "
10,Ladder 49,10/1/2004,Action,PG-13,Jay Russell,2004,10,1,NO,"$101,161,045 "
11,Coyote Ugly,8/4/2000,Drama,PG-13,David McNally,2000,8,4,NO,"$95,070,168 "
12,The Sixth Man,3/28/1997,Comedy,PG-13,Randall Miller,1997,3,28,NO,"$27,117,599 "
13,Dick Tracy,6/15/1990,Action,PG,Warren Beatty,1990,6,15,NO,"$207,231,621 "
14,Sister Act 2 Back in the Habit,12/10/1993,Comedy,PG,Bill Duke,1993,12,10,YES,"$116,965,668 "
15,DuckTales: The Movie - Treasure of th…,8/3/1990,Adventure,G,Bob Hathcock,1990,8,3,NO,"$36,107,823 "
16,Blame it on the Bellboy,3/6/1992,Comedy,PG-13,Mark Herman,1992,3,6,YES,"$5,872,667 "
17,The Hunchback of Notre Dame,6/21/1996,Adventure,G,Gary Trousdale,1996,6,21,NO,"$190,988,799 "
18,Ernest Goes to Jail,4/6/1990,Comedy,PG,John R. Cherry III,1990,4,6,NO,"$49,999,822 "
19,Ant-Man,7/17/2015,Action,PG-13,NO_DIRECTOR,2015,7,17,NO,"$180,202,163 "
20,The Shaggy Dog,3/10/2006,Comedy,PG,Brian Robbins,2006,3,10,NO,"$78,667,428 "
21,The Life Aquatic with Steve Zissou,12/10/2004,Comedy,R,Wes Anderson,2004,12,10,NO,"$32,198,655 "
22,Bridge to Terabithia,2/16/2007,Drama,PG,Gábor Csupó,2007,2,16,YES,"$100,760,721 "
23,Beauty and the Beast,11/13/1991,Musical,G,Gary Trousdale,1991,11,13,NO,"$363,017,667 "
24,Miami Rhapsody,1/27/1995,Romantic Comedy,PG-13,David Frankel,1995,1,27,NO,"$9,857,435 "
25,A Bug's Life,11/20/1998,Adventure,G,John Lasseter,1998,11,20,NO,"$288,981,698 "
26,3 Men and a Little Lady,11/21/1990,Comedy,PG,Emile Ardolino,1990,11,21,NO,"$143,108,869 "
27,The Puppet Masters,10/21/1994,Horror,R,Stuart Orme,1994,10,21,NO,"$17,727,017 "
28,Signs,8/2/2002,Thriller/Suspense,PG-13,M. Night Shyamalan,2002,8,2,NO,"$330,754,439 "
29,Dead Presidents,10/4/1995,Drama,R,Albert Hughes,1995,10,4,NO,"$46,741,467 "
