,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,year,month,day,animated
0,Recess: School's Out,2001-02-16,Comedy,G,C,Chuck Sheetz,2001,2,16,YES
1,D2: The Mighty Ducks,1994-03-25,Comedy,PG,B,Sam Weisman,1994,3,25,NO
2,Home on the Range,2004-04-02,Comedy,PG,C,Will Finn,2004,4,2,YES
3,Young Black Stallion,2003-12-25,Adventure,G,D,Simon Wincer,2003,12,25,NO
4,What's Love Got to Do With It,1993-06-09,Drama,R,B,Brian Gibson,1993,6,9,NO
5,Lady and the Tramp,2055-06-22,Drama,G,S,Hamilton Luske,1955,6,22,NO
6,Corky Romano,2001-10-12,Comedy,PG-13,C,Rob Pritts,2001,10,12,NO
7,The Waterboy,1998-11-06,Comedy,PG-13,A,Frank Coraci,1998,11,6,NO
8,Captain America: The Winter Soldier,2014-04-04,Action,PG-13,A,Anthony Russo,2014,4,4,NO
9,Pirates of the Caribbean: Dead Man’…,2006-07-07,Adventure,PG-13,S,Gore Verbinski,2006,7,7,NO
10,Ladder 49,2004-10-01,Action,PG-13,B,Jay Russell,2004,10,1,NO
11,Coyote Ugly,2000-08-04,Drama,PG-13,B,David McNally,2000,8,4,NO
12,The Sixth Man,1997-03-28,Comedy,PG-13,C,Randall Miller,1997,3,28,NO
13,Dick Tracy,1990-06-15,Action,PG,A,Warren Beatty,1990,6,15,NO
14,Sister Act 2 Back in the Habit,1993-12-10,Comedy,PG,B,Bill Duke,1993,12,10,YES
15,DuckTales: The Movie - Treasure of th…,1990-08-03,Adventure,G,C,Bob Hathcock,1990,8,3,NO
16,Blame it on the Bellboy,1992-03-06,Comedy,PG-13,D,Mark Herman,1992,3,6,YES
17,The Hunchback of Notre Dame,1996-06-21,Adventure,G,B,Gary Trousdale,1996,6,21,NO
18,Ernest Goes to Jail,1990-04-06,Comedy,PG,C,John R. Cherry III,1990,4,6,NO
19,Ant-Man,2015-07-17,Action,PG-13,B,NO_DIRECTOR,2015,7,17,NO
20,The Shaggy Dog,2006-03-10,Comedy,PG,B,Brian Robbins,2006,3,10,NO
21,The Life Aquatic with Steve Zissou,2004-12-10,Comedy,R,C,Wes Anderson,2004,12,10,NO
22,Bridge to Terabithia,2007-02-16,Drama,PG,B,Gábor Csupó,2007,2,16,YES
23,Beauty and the Beast,1991-11-13,Musical,G,A,Gary Trousdale,1991,11,13,NO
24,Miami Rhapsody,1995-01-27,Romantic Comedy,PG-13,D,David Frankel,1995,1,27,NO
